0,1
Finger Position,FGP
Right thumb,01
Right index,02
Right middle,03
Right ring,04
Right little,05
Left thumb,06
Left index,07
Left middle,08
Left ring,09
Left little,10
Plain right thumb,11
Plain left thumb,12
Plain	right	four	fingers,13
Plain	left	four	fingers,14
Plain left and right thumbs,15
