0,1
Identifying Agency,Code
"U.S. Air Force, Air Force Reserve, Air National Guard",AF
Non-Immigrant Admission Number,AN
Alien Registration Number,AR
"U.S. Army, Army Reserve, Army National Guard",AS
Bureau Fugitive Index Number,BF
Canadian Social Insurance Number,CI
"U. S. Coast Guard, Coast Guard Reserve",CG
Fingerprint	Identification	Number	(DHS	only),FN
Identification	Order	Number,IO
"U.S. Marine Corps, Marine Corps Reserve",MC
Mariner’s	Document	or	Identification	Number,MD
